,,country,year,life_expectancy
0,0,Abkhazia,1800,
1,1,Afghanistan,1800,28.21
2,2,Akrotiri and Dhekelia,1800,
3,3,Albania,1800,35.4
4,4,Algeria,1800,28.82
5,5,American Samoa,1800,
6,6,Andorra,1800,
7,7,Angola,1800,26.98
8,8,Anguilla,1800,
9,9,Antigua and Barbuda,1800,33.54
10,10,Argentina,1800,33.2
11,11,Armenia,1800,34.0
12,12,Aruba,1800,34.42
13,13,Australia,1800,34.05
14,14,Austria,1800,34.4
15,15,Azerbaijan,1800,29.17
16,16,Bahamas,1800,35.18
17,17,Bahrain,1800,30.3
18,18,Bangladesh,1800,25.5
19,19,Barbados,1800,32.12
20,20,Belarus,1800,36.2
21,21,Belgium,1800,40.0
22,22,Belize,1800,26.5
23,23,Benin,1800,31.0
24,24,Bermuda,1800,
25,25,Bhutan,1800,28.8
26,26,Bolivia,1800,33.0
27,27,Bosnia and Herzegovina,1800,35.1
28,28,Botswana,1800,33.6
29,29,Brazil,1800,32.0
30,30,British Virgin Islands,1800,
31,31,Brunei,1800,29.2
32,32,Bulgaria,1800,35.8
33,33,Burkina Faso,1800,29.2
34,34,Burundi,1800,31.5
35,35,Cambodia,1800,35.0
36,36,Cameroon,1800,28.75
37,37,Canada,1800,39.0
38,38,Cape Verde,1800,33.8
39,39,Cayman Islands,1800,
40,40,Central African Republic,1800,30.0
41,41,Chad,1800,30.9
42,42,Channel Islands,1800,
43,43,Chile,1800,32.0
44,44,China,1800,32.0
45,45,Christmas Island,1800,
46,46,Cocos Island,1800,
47,47,Colombia,1800,32.0
48,48,Comoros,1800,32.1
49,49,"Congo, Dem. Rep.",1800,31.6
50,50,"Congo, Rep.",1800,32.7
51,51,Cook Is,1800,
52,52,Costa Rica,1800,30.21
53,53,Cote d'Ivoire,1800,31.16
54,54,Croatia,1800,36.1
55,55,Cuba,1800,32.2
56,56,Cyprus,1800,38.5
57,57,Czech Republic,1800,34.95
58,58,Czechoslovakia,1800,
59,59,Denmark,1800,37.41
60,60,Djibouti,1800,29.9
61,61,Dominica,1800,
62,62,Dominican Republic,1800,29.9
63,63,East Germany,1800,
64,64,Ecuador,1800,32.9
65,65,Egypt,1800,33.0
66,66,El Salvador,1800,28.7
67,67,Equatorial Guinea,1800,29.8
68,68,Eritrea,1800,30.2
69,69,Eritrea and Ethiopia,1800,
70,70,Estonia,1800,36.14
71,71,Ethiopia,1800,29.7
72,72,Faeroe Islands,1800,
73,73,Falkland Is (Malvinas),1800,
74,74,Fiji,1800,26.1
75,75,Finland,1800,36.57
76,76,France,1800,33.97
77,77,French Guiana,1800,30.5
78,78,French Polynesia,1800,25.6
79,79,Gabon,1800,30.6
80,80,Gambia,1800,28.8
81,81,Georgia,1800,31.87
82,82,Germany,1800,38.37
83,83,Ghana,1800,28.0
84,84,Gibraltar,1800,
85,85,Greece,1800,36.6
86,86,Greenland,1800,33.87
87,87,Grenada,1800,31.4
88,88,Guadeloupe,1800,27.66
89,89,Guam,1800,27.5
90,90,Guatemala,1800,25.8
91,91,Guernsey,1800,
92,92,Guinea,1800,29.5
93,93,Guinea-Bissau,1800,32.0
94,94,Guyana,1800,31.12
95,95,Haiti,1800,29.0
96,96,Holy See,1800,
97,97,Honduras,1800,33.9
98,98,"Hong Kong, China",1800,34.9
99,99,Hungary,1800,36.0
100,100,Iceland,1800,42.85
101,101,India,1800,25.44
102,102,Indonesia,1800,30.0
103,103,Iran,1800,25.6
104,104,Iraq,1800,31.2
105,105,Ireland,1800,38.3
106,106,Isle of Man,1800,
107,107,Israel,1800,32.0
108,108,Italy,1800,29.69
109,109,Jamaica,1800,34.2
110,110,Japan,1800,36.4
111,111,Jersey,1800,
112,112,Jordan,1800,31.7
113,113,Kazakhstan,1800,26.2
114,114,Kenya,1800,25.5
115,115,Kiribati,1800,24.9
116,116,North Korea,1800,26.0
117,117,South Korea,1800,25.8
118,118,"United Korea (former)
",1800,
119,119,Kosovo,1800,
120,120,Kuwait,1800,26.0
121,121,Kyrgyz Republic,1800,23.94
122,122,Lao,1800,31.9
123,123,Latvia,1800,33.0
124,124,Lebanon,1800,29.7
125,125,Lesotho,1800,32.8
126,126,Liberia,1800,31.1
127,127,Libya,1800,33.1
128,128,Liechtenstein,1800,
129,129,Lithuania,1800,28.9
130,130,Luxembourg,1800,36.9
131,131,"Macao, China",1800,34.7
132,132,"Macedonia, FYR",1800,36.1
133,133,Madagascar,1800,30.5
134,134,Malawi,1800,30.3
135,135,Malaysia,1800,30.6
136,136,Maldives,1800,32.65
137,137,Mali,1800,26.41
138,138,Malta,1800,28.7
139,139,Marshall Islands,1800,
140,140,Martinique,1800,30.15
141,141,Mauritania,1800,32.0
142,142,Mauritius,1800,28.7
143,143,Mayotte,1800,32.5
144,144,Mexico,1800,26.9
145,145,"Micronesia, Fed. Sts.",1800,26.7
146,146,Moldova,1800,33.15
147,147,Monaco,1800,
148,148,Mongolia,1800,31.8
149,149,Montenegro,1800,35.4
150,150,Montserrat,1800,
151,151,Morocco,1800,33.1
152,152,Mozambique,1800,30.28
153,153,Myanmar,1800,30.8
154,154,Namibia,1800,32.4
155,155,Nauru,1800,
156,156,Nepal,1800,32.8
157,157,Netherlands,1800,39.86
158,158,Netherlands Antilles,1800,34.41
159,159,New Caledonia,1800,26.0
160,160,New Zealand,1800,34.05
161,161,Ngorno-Karabakh,1800,
162,162,Nicaragua,1800,25.4
163,163,Niger,1800,30.8
164,164,Nigeria,1800,30.4
165,165,Niue,1800,
166,166,Norfolk Island,1800,
167,167,Northern Cyprus,1800,
168,168,Northern Mariana Islands,1800,
169,169,Norway,1800,37.92
170,170,Oman,1800,32.3
171,171,Pakistan,1800,25.8
172,172,Palau,1800,
173,173,Panama,1800,32.9
174,174,Papua New Guinea,1800,31.5
175,175,Paraguay,1800,35.5
176,176,Peru,1800,35.7
177,177,Philippines,1800,30.9
178,178,Pitcairn,1800,
179,179,Poland,1800,35.9
180,180,Portugal,1800,35.6
181,181,Puerto Rico,1800,30.43
182,182,Qatar,1800,30.8
183,183,Reunion,1800,33.0
184,184,Romania,1800,35.7
185,185,Russia,1800,29.57
186,186,Rwanda,1800,31.8
187,187,St. Barth̩lemy,1800,
188,188,St. Helena,1800,
189,189,St. Kitts and Nevis,1800,
190,190,St. Lucia,1800,28.01
191,191,St. Martin,1800,
192,192,St. Vincent and the Grenadines,1800,25.99
193,193,St.-Pierre-et-Miquelon,1800,
194,194,Samoa,1800,25.4
195,195,San Marino,1800,
196,196,Sao Tome and Principe,1800,31.0
197,197,Saudi Arabia,1800,32.1
198,198,Senegal,1800,25.2
199,199,Serbia,1800,35.5
200,200,Serbia and Montenegro,1800,
201,201,Serbia excluding Kosovo,1800,
202,202,Seychelles,1800,37.0
203,203,Sierra Leone,1800,25.1
204,204,Singapore,1800,29.1
205,205,Slovak Republic,1800,36.4
206,206,Slovenia,1800,36.6
207,207,Solomon Islands,1800,25.1
208,208,Somalia,1800,29.4
209,209,Somaliland,1800,
210,210,South Africa,1800,33.5
211,211,South Ossetia,1800,
212,212,Spain,1800,29.5
213,213,Sri Lanka,1800,32.6
214,214,Sudan,1800,31.4
215,215,Suriname,1800,32.9
216,216,Svalbard,1800,
217,217,Swaziland,1800,32.3
218,218,Sweden,1800,32.16
219,219,Switzerland,1800,38.0
220,220,Syria,1800,31.1
221,221,Taiwan,1800,28.3
222,222,Tajikistan,1800,24.24
223,223,Tanzania,1800,32.2
224,224,Thailand,1800,30.4
225,225,Timor-Leste,1800,28.95
226,226,Togo,1800,31.3
227,227,Tokelau,1800,
228,228,Tonga,1800,28.2
229,229,Transnistria,1800,
230,230,Trinidad and Tobago,1800,32.9
231,231,Tunisia,1800,28.8
232,232,Turkey,1800,35.0
233,233,Turkmenistan,1800,24.0
234,234,Turks and Caicos Islands,1800,
235,235,Tuvalu,1800,
236,236,Uganda,1800,25.3
237,237,Ukraine,1800,36.6
238,238,United Arab Emirates,1800,30.7
239,239,United Kingdom,1800,38.65
240,240,United States,1800,39.41
241,241,Uruguay,1800,32.9
242,242,USSR,1800,
243,243,Uzbekistan,1800,26.93
244,244,Wallis et Futuna,1800,
245,245,Vanuatu,1800,24.3
246,246,Venezuela,1800,32.2
247,247,West Bank and Gaza,1800,32.1
248,248,West Germany,1800,
249,249,Western Sahara,1800,34.75
250,250,Vietnam,1800,32.0
251,251,Virgin Islands (U.S.),1800,33.4
252,252,North Yemen (former),1800,
253,253,South Yemen (former),1800,
254,254,Yemen,1800,23.39
255,255,Yugoslavia,1800,
256,256,Zambia,1800,32.6
